date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2026-10-03,Askerhallen,U10,Frisk Asker,6,15,Kongsberg~62km,nei,
2026-10-03,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Grå~82km,nei,
2026-10-03,Tonsberghallen,U12,Tønsberg,4,6,Jar Blå~92km,nei,
2026-10-03,Askerhallen,U7,Frisk Asker,8,28,Sandefjord~103km,nei,
2026-10-04,Ringerikshallen,U10,Ringerike,6,15,Tønsberg~131km,nei,
2026-10-04,Baerum ishall,U11,Jutul,6,15,Tønsberg Hvit~92km,nei,
2026-10-04,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Hvit~82km,nei,
2026-10-10,Sandefjord ishall,U11,Sandefjord Penguins,6,15,Jar Gul~114km,nei,
2026-10-10,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Rød~82km,nei,
2026-10-11,Skien ishall,JU10,Skien,6,15,Ringerike 1~147km,nei,
2026-10-11,Tonsberghallen,JU12,Tønsberg,4,6,Ringerike 1~131km,nei,
2026-10-11,Holmenkollen ishall,U10,Holmen,6,15,Ringerike 3~49km,nei,
2026-10-11,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Grå~82km,nei,
2026-10-11,Baerum ishall,U12,Jutul,4,6,Kongsberg~73km,nei,
2026-10-17,Askerhallen,JU8,Frisk Asker,5,10,Skien~109km,nei,
2026-10-17,Tonsberghallen,U11,Tønsberg,6,15,Jar Rød~92km,nei,
2026-10-17,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Rød~82km,nei,
2026-10-17,Askerhallen,U9,Frisk Asker,8,28,Skien~109km,nei,
2026-10-18,Baerum ishall,JU12,Jutul,4,6,Skien~121km,nei,
2026-10-18,Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2026-10-18,Holmenkollen ishall,U11,Holmen,6,15,Sandefjord~104km,nei,
2026-10-18,Ringerikshallen,U12,Ringerike,4,6,Frisk Asker 1~50km,nei,
2026-10-18,Sandefjord ishall,U8,Sandefjord Penguins,8,28,Ringerike 1~150km,nei,
2026-10-24,Skien ishall,JU12,Skien,4,6,Ringerike 2~147km,nei,
2026-10-24,Askerhallen,U10,Frisk Asker,6,15,Tønsberg~82km,nei,
2026-10-24,Holmenkollen ishall,U12,Holmen,4,6,Tønsberg Grå~83km,nei,
2026-10-24,Askerhallen,U7,Frisk Asker,8,28,Jar Hvit~14km,nei,
2026-10-25,Askerhallen,JU10,Frisk Asker,6,15,Skien~109km,nei,
2026-10-25,Ringerikshallen,U11,Ringerike,6,15,Skien~147km,nei,
2026-10-25,Tonsberghallen,U12,Tønsberg,4,6,Jar Svart~92km,nei,
2026-10-25,Tonsberghallen,U9,Tønsberg,8,28,Jar Hvit~92km,nei,
2026-10-31,Askerhallen,JU12,Frisk Asker,4,6,Tønsberg~82km,nei,
2026-10-31,Baerum ishall,U10,Jutul,6,15,Kongsberg~73km,nei,
2026-10-31,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 2~131km,nei,
2026-10-31,Holmenkollen ishall,U8,Holmen,8,28,Tønsberg~83km,nei,
2026-11-01,Tonsberghallen,U10,Tønsberg,6,15,Ringerike 1~131km,nei,
2026-11-01,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Hvit~82km,nei,
2026-11-01,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Hvit~82km,nei,
2026-11-01,Skien ishall,U8,Skien,8,28,Ringerike 1~147km,nei,
2026-11-01,Sandefjord ishall,U9,Sandefjord Penguins,8,28,Ringerike 1~150km,nei,
2026-11-07,Ringerikshallen,JU12,Ringerike,4,6,Tønsberg~131km,nei,
2026-11-07,Askerhallen,U10,Frisk Asker,6,15,Ringerike 2~50km,nei,
2026-11-07,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2026-11-07,Holmenkollen ishall,U12,Holmen,4,6,Ringerike 2~49km,nei,
2026-11-07,Baerum ishall,U7,Jutul,8,28,Sandefjord~114km,nei,
