date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2026-10-10,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Grå~82km,nei,
2026-10-10,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Grå~82km,nei,
2026-10-10,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 1~131km,nei,
2026-10-10,Holmen ishall,U12,Holmen,3,3,Jar Hvit~12km,nei,
2026-10-10,Baerum ishall,U12,Jutul,3,3,Ringerike 2~44km,nei,
2026-10-10,Askerhallen,U12,Frisk Asker,3,3,Tønsberg Rød~82km,nei,
2026-10-11,Askerhallen,JU12,Frisk Asker,4,6,Ringerike 1~50km,nei,
2026-10-11,Askerhallen,U10,Frisk Asker,6,15,Kongsberg~62km,nei,
2026-10-11,Skien ishall,U11,Skien,6,15,Jar Grønn~122km,nei,
2026-10-11,Tonsberghallen,U12,Tønsberg,4,6,Jar Hvit~92km,nei,
2026-10-11,Ringerikshallen,U12,Ringerike,4,6,Kongsberg~85km,nei,
2026-10-11,Askerhallen,U8,Frisk Asker,8,28,Skien~109km,nei,
2026-10-17,Askerhallen,JU10,Frisk Asker,6,15,Skien~109km,nei,
2026-10-17,Holmen ishall,U10,Holmen,6,15,Tønsberg~83km,nei,
2026-10-17,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 2~131km,nei,
2026-10-17,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Grå~82km,nei,
2026-10-17,Baerum ishall,U9,Jutul,8,28,Skien~121km,nei,
2026-10-18,Askerhallen,JU10,Frisk Asker,6,15,Skien~109km,nei,
2026-10-18,Skien ishall,JU12,Skien,4,6,Ringerike 2~147km,nei,
2026-10-18,Ringerikshallen,U10,Ringerike,6,15,Kongsberg~85km,nei,
2026-10-18,Bugården ishall,U11,Sandefjord Penguins,6,15,Jar Hvit~114km,nei,
2026-10-18,Holmen ishall,U12,Holmen,4,6,Tønsberg Hvit~83km,nei,
2026-10-24,Baerum ishall,JU8,Jutul,5,10,Skien~121km,nei,
2026-10-24,Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2026-10-24,Kongsberghallen,U11,Kongsberg,6,15,Tønsberg Rød~80km,nei,
2026-10-24,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Rød~82km,nei,
2026-10-24,Holmen ishall,U9,Holmen,8,28,Sandefjord~104km,nei,
2026-10-25,Askerhallen,JU12,Frisk Asker,4,6,Skien~109km,nei,
2026-10-25,Askerhallen,U10,Frisk Asker,6,15,Tønsberg~82km,nei,
2026-10-25,Holmen ishall,U11,Holmen,6,15,Skien~111km,nei,
2026-10-25,Baerum ishall,U12,Jutul,4,6,Frisk Asker 1~12km,nei,
2026-10-25,Bugården ishall,U8,Sandefjord Penguins,8,28,Ringerike 2~150km,nei,
2026-10-31,Askerhallen,JU12,Frisk Asker,4,6,Skien~109km,nei,
2026-10-31,Baerum ishall,U10,Jutul,6,15,Ringerike 1~44km,nei,
2026-10-31,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 1~131km,nei,
2026-10-31,Holmen ishall,U12,Holmen,4,6,Kongsberg~64km,nei,
2026-10-31,Holmen ishall,U8,Holmen,8,28,Skien~111km,nei,
2026-11-01,Askerhallen,JU10,Frisk Asker,6,15,Skien~109km,nei,
2026-11-01,Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2026-11-01,Baerum ishall,U11,Jutul,6,15,Tønsberg Hvit~92km,nei,
2026-11-01,Ringerikshallen,U12,Ringerike,4,6,Tønsberg Grå~131km,nei,
2026-11-01,Holmen ishall,U9,Holmen,8,28,Skien~111km,nei,
2026-11-07,Baerum ishall,JU12,Jutul,4,6,Skien~121km,nei,
2026-11-07,Askerhallen,U10,Frisk Asker,6,15,Ringerike 2~50km,nei,
2026-11-07,Ringerikshallen,U11,Ringerike,6,15,Tønsberg Grå~131km,nei,
2026-11-07,Baerum ishall,U12,Jutul,4,6,Tønsberg Hvit~92km,nei,
2026-11-07,Askerhallen,U9,Frisk Asker,8,28,Jar Hvit~14km,nei,
2026-11-08,Holmen ishall,U10,Holmen,6,15,Kongsberg~64km,nei,
2026-11-08,Askerhallen,U11,Frisk Asker,6,15,Sandefjord~103km,nei,
2026-11-08,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 1~131km,nei,
2026-11-08,Holmen ishall,U8,Holmen,8,28,Tønsberg~83km,nei,
2026-11-14,Jar Isforum,JU10,Jar,5,10,Skien~122km,nei,
2026-11-14,Askerhallen,JU12,Frisk Asker,4,6,Ringerike 2~50km,nei,
2026-11-14,Ringerikshallen,U10,Ringerike,6,15,Tønsberg~131km,nei,
2026-11-14,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2026-11-14,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Grå~82km,nei,
2026-11-15,Ringerikshallen,JU12,Ringerike,4,6,Frisk Asker Svart~50km,nei,
2026-11-15,Holmen ishall,U10,Holmen,6,15,Ringerike 3~49km,nei,
2026-11-15,Jar Isforum,U11,Jar,6,15,Skien~122km,nei,
2026-11-15,Askerhallen,U12,Frisk Asker,4,6,Jar Svart~14km,nei,
2026-11-15,Tonsberghallen,U9,Tønsberg,8,28,Ringerike 1~131km,nei,
2026-11-21,Kongsberghallen,JU12,Kongsberg,4,6,Ringerike 2~85km,nei,
2026-11-21,Askerhallen,JU8,Frisk Asker,5,10,Skien~109km,nei,
2026-11-21,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 2~131km,nei,
2026-11-21,Tonsberghallen,U12,Tønsberg,4,6,Jar Blå~92km,nei,
2026-11-21,Kongsberghallen,U8,Kongsberg,8,28,Ringerike 1~85km,nei,
2026-11-22,Baerum ishall,JU12,Jutul,4,6,Ringerike 1~44km,nei,
2026-11-22,Ringerikshallen,U10,Ringerike,6,15,Frisk Asker 5~50km,nei,
2026-11-22,Askerhallen,U11,Frisk Asker,6,15,Sandefjord~103km,nei,
2026-11-22,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Rød~82km,nei,
2026-11-22,Skien ishall,U9,Skien,8,28,Jar Rød~122km,nei,
2026-11-28,Askerhallen,U10,Frisk Asker,6,15,Kongsberg~62km,nei,
2026-11-28,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Grå~82km,nei,
2026-11-28,Holmen ishall,U12,Holmen,4,6,Tønsberg Hvit~83km,nei,
2026-11-28,Ringerikshallen,U8,Ringerike,8,28,Sandefjord~150km,nei,
2026-11-28,Jar Isforum,U9,Jar,8,28,Frisk Asker 3~14km,nei,
2026-11-29,Jar Isforum,JU10,Jar,5,10,Frisk Asker Svart~14km,nei,
2026-11-29,Skien ishall,JU12,Skien,4,6,Ringerike 1~147km,nei,
2026-11-29,Baerum ishall,U10,Jutul,6,15,Tønsberg~92km,nei,
2026-11-29,Askerhallen,U11,Frisk Asker,6,15,Kongsberg~62km,nei,
2026-11-29,Ringerikshallen,U12,Ringerike,4,6,Kongsberg~85km,nei,
2026-11-29,Askerhallen,U8,Frisk Asker,7,21,Skien~109km,nei,
2026-12-05,Askerhallen,JU12,Frisk Asker,3,3,Ringerike 2~50km,nei,
2026-12-05,Holmen ishall,U10,Holmen,6,15,Ringerike 2~49km,nei,
2026-12-05,Baerum ishall,U11,Jutul,6,15,Sandefjord~114km,nei,
2026-12-05,Jar Isforum,U12,Jar,4,6,Tønsberg Grå~92km,nei,
2026-12-05,Baerum ishall,U12,Jutul,4,6,Frisk Asker 3~12km,nei,
2026-12-05,Ringerikshallen,U9,Ringerike,8,28,Sandefjord~150km,nei,
2026-12-06,Ringerikshallen,JU12,Ringerike,3,3,Frisk Asker Svart~50km,nei,
2026-12-06,Askerhallen,U10,Frisk Asker,5,10,Ringerike 3~50km,nei,
2026-12-06,Holmen ishall,U11,Holmen,6,15,Skien~111km,nei,
2026-12-06,Kongsberghallen,U12,Kongsberg,4,6,Ringerike 2~85km,nei,
2026-12-06,Tonsberghallen,U12,Tønsberg,4,6,Jar Hvit~92km,nei,
2026-12-06,Baerum ishall,U8,Jutul,7,21,Frisk Asker 4~12km,nei,
2026-12-12,Ringerikshallen,JU12,Ringerike,3,3,Skien~147km,nei,
2026-12-12,Askerhallen,U10,Frisk Asker,5,10,Ringerike 4~50km,nei,
2026-12-12,Ringerikshallen,U11,Ringerike,6,15,Tønsberg Hvit~131km,nei,
2026-12-12,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 1~131km,nei,
2026-12-12,Askerhallen,U12,Frisk Asker,4,6,Jar Blå~14km,nei,
2026-12-12,Jar Isforum,U12,Jar,4,6,Tønsberg Rød~92km,nei,
2026-12-13,Skien ishall,JU8,Skien,5,10,Ringerike 1~147km,nei,
2026-12-13,Jar Isforum,U11,Jar,5,10,Tønsberg Rød~92km,nei,
2026-12-13,Jar Isforum,U12,Jar,4,6,Ringerike 1~45km,nei,
2026-12-13,Jar Isforum,U12,Jar,4,6,Tønsberg Hvit~92km,nei,
2026-12-13,Askerhallen,U8,Frisk Asker,7,21,Jar Hvit~14km,nei,
2026-12-13,Askerhallen,U9,Frisk Asker,8,28,Jar Blå~14km,nei,
2027-01-09,Askerhallen,JU10,Frisk Asker,6,15,Skien~109km,nei,
2027-01-09,Jar Isforum,U10,Jar,6,15,Tønsberg~92km,nei,
2027-01-09,Jar Isforum,U11,Jar,6,15,Skien~122km,nei,
2027-01-09,Ringerikshallen,U12,Ringerike,4,6,Tønsberg Grå~131km,nei,
