team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U9)",56,2027-04-11
"Frisk Asker 2 (Frisk Asker, U9)",56,2027-04-18
"Frisk Asker 3 (Frisk Asker, U9)",56,2027-04-18
"Frisk Asker 4 (Frisk Asker, U9)",56,2027-04-18
"Holmen Hockey Hvit (Holmen, U9)",56,2027-04-11
"Holmen Hockey Rød (Holmen, U9)",56,2027-04-18
"Holmen Hockey Sort (Holmen, U9)",56,2027-04-11
"Jar Blå (Jar, U9)",56,2027-04-18
"Jar Hvit (Jar, U9)",56,2027-04-11
"Jar Rød (Jar, U9)",56,2027-04-18
"Jutul Grønn (Jutul, U9)",56,2027-04-18
"Jutul Hvit (Jutul, U9)",56,2027-04-11
"Jutul Rød (Jutul, U9)",56,2027-04-18
"Kongsberg (Kongsberg, U9)",56,2027-04-10
"Ringerike 1 (Ringerike, U9)",56,2027-04-11
"Sandefjord (Sandefjord Penguins, U9)",56,2027-04-11
"Skien (Skien, U9)",56,2027-04-10
"Tønsberg (Tønsberg, U9)",56,2027-04-11
"Frisk Asker 4 (Frisk Asker, U11)",55,2027-04-17
"Holmen Hockey Hvit (Holmen, U11)",55,2027-04-17
"Ringerike 2 (Ringerike, U11)",55,2027-04-17
"Tønsberg Hvit (Tønsberg, U11)",55,2027-04-17
"Frisk Asker 1 (Frisk Asker, U11)",50,2027-03-14
"Frisk Asker 2 (Frisk Asker, U11)",50,2027-03-07
"Frisk Asker 3 (Frisk Asker, U11)",50,2027-03-13
"Holmen Hockey Rød (Holmen, U11)",50,2027-03-13
"Jar Blå (Jar, U11)",50,2027-04-11
"Jar Grønn (Jar, U11)",50,2027-04-17
Jar Oransje,50,2027-04-17
"Jar Rød (Jar, U11)",50,2027-04-11
"Jutul Grønn (Jutul, U11)",50,2027-03-14
"Jutul Rød (Jutul, U11)",50,2027-04-11
"Kongsberg (Kongsberg, U11)",50,2027-03-14
"Ringerike 1 (Ringerike, U11)",50,2027-03-13
"Sandefjord (Sandefjord Penguins, U11)",50,2027-03-07
"Skien (Skien, U11)",50,2027-04-11
"Tønsberg Grå (Tønsberg, U11)",50,2027-04-11
"Tønsberg Rød (Tønsberg, U11)",50,2027-03-13
"Holmen Hockey Hvit (Holmen, U8)",49,2027-04-17
"Jar Hvit (Jar, U8)",49,2027-04-17
"Kongsberg (Kongsberg, U8)",49,2027-04-17
"Ringerike 1 (Ringerike, U8)",49,2027-04-17
"Skien (Skien, U8)",49,2027-04-17
"Tønsberg (Tønsberg, U8)",49,2027-04-17
"Frisk Asker 1 (Frisk Asker, U10)",45,2027-04-18
"Jar Blå (Jar, JU10)",45,2027-04-18
"Jar Gul (Jar, U11)",45,2027-03-13
"Jar Hvit (Jar, JU10)",45,2027-04-18
"Jar Hvit (Jar, U11)",45,2027-03-14
Jar Lilla,45,2027-03-07
"Jar Svart (Jar, U11)",45,2027-03-06
"Kongsberg (Kongsberg, U10)",45,2027-04-18
"Ringerike 1 (Ringerike, JU10)",45,2027-04-18
Ringerike 3,45,2027-04-18
"Skien (Skien, JU10)",45,2027-04-18
"Tønsberg (Tønsberg, U10)",45,2027-04-18
"Frisk Asker 1 (Frisk Asker, U7)",42,2027-04-11
"Frisk Asker 1 (Frisk Asker, U8)",42,2027-04-10
"Frisk Asker 2 (Frisk Asker, U7)",42,2027-04-17
"Frisk Asker 2 (Frisk Asker, U8)",42,2027-04-10
"Frisk Asker 3 (Frisk Asker, U7)",42,2027-04-17
"Frisk Asker 3 (Frisk Asker, U8)",42,2027-04-11
"Frisk Asker 4 (Frisk Asker, U8)",42,2027-04-11
"Frisk Asker 5 (Frisk Asker, U8)",42,2027-04-17
"Holmen Hockey Blå (Holmen, U8)",42,2027-04-10
"Holmen Hockey Hvit (Holmen, U7)",42,2027-04-17
"Holmen Hockey Rød (Holmen, U7)",42,2027-04-11
"Holmen Hockey Rød (Holmen, U8)",42,2027-03-14
"Holmen Hockey Sort (Holmen, U7)",42,2027-04-17
"Holmen Hockey Sort (Holmen, U8)",42,2027-04-11
"Jar Blå (Jar, U7)",42,2027-04-11
"Jar Blå (Jar, U8)",42,2027-04-11
"Jar Grønn (Jar, U7)",42,2027-04-11
"Jar Hvit (Jar, U7)",42,2027-04-11
"Jar Rød (Jar, U7)",42,2027-04-17
"Jar Rød (Jar, U8)",42,2027-04-10
"Jar Svart (Jar, U7)",42,2027-04-17
"Jar Svart (Jar, U8)",42,2027-04-11
"Jutul Grønn (Jutul, U7)",42,2027-04-17
"Jutul Grønn (Jutul, U8)",42,2027-04-17
Jutul Gul,42,2027-04-11
"Jutul Hvit (Jutul, U7)",42,2027-04-11
"Jutul Hvit (Jutul, U8)",42,2027-04-10
"Jutul Rød (Jutul, U7)",42,2027-04-17
"Jutul Rød (Jutul, U8)",42,2027-04-11
"Ringerike 2 (Ringerike, U8)",42,2027-03-14
"Sandefjord (Sandefjord Penguins, U7)",42,2027-04-11
"Sandefjord (Sandefjord Penguins, U8)",42,2027-03-14
"Tønsberg (Tønsberg, U7)",42,2027-04-11
"Frisk Asker 2 (Frisk Asker, U10)",40,2027-03-14
"Frisk Asker 3 (Frisk Asker, U10)",40,2027-04-11
"Frisk Asker 4 (Frisk Asker, U10)",40,2027-04-17
"Frisk Asker 5 (Frisk Asker, U10)",40,2027-04-11
Frisk Asker 6,40,2027-04-17
"Frisk Asker Orange (Frisk Asker, JU10)",40,2027-04-18
"Frisk Asker Svart (Frisk Asker, JU10)",40,2027-04-18
"Holmen Hockey Blå (Holmen, U10)",40,2027-03-14
"Holmen Hockey Hvit (Holmen, U10)",40,2027-03-13
"Holmen Hockey Rød (Holmen, U10)",40,2027-04-17
