team,games_played,last_game_date
"Ringerike 2 (Ringerike, U10)",40,2027-03-06
"Ringerike 2 (Ringerike, U12)",40,2027-03-13
"Skien (Skien, JU12)",40,2027-03-14
"Tønsberg (Tønsberg, U10)",40,2027-02-21
"Tønsberg Rød (Tønsberg, U12)",40,2027-03-13
"Frisk Asker 2 (Frisk Asker, U10)",39,2027-02-28
"Frisk Asker 3 (Frisk Asker, U10)",39,2027-03-07
"Frisk Asker 4 (Frisk Asker, U10)",39,2027-03-06
"Frisk Asker 5 (Frisk Asker, U10)",39,2027-03-06
"Frisk Asker Orange (Frisk Asker, JU12)",39,2027-03-13
"Frisk Asker Svart (Frisk Asker, JU12)",39,2027-03-14
"Holmen Hockey Hvit (Holmen, U10)",39,2027-03-07
"Holmen Hockey Hvit (Holmen, U8)",39,2027-02-21
"Holmen Hockey Sort (Holmen, U10)",39,2027-02-27
"Jar Blå (Jar, U10)",39,2027-03-06
"Jar Blå (Jar, U8)",39,2027-02-27
"Jar Gul (Jar, U10)",39,2027-02-28
"Jar Rød (Jar, U8)",39,2027-02-27
"Jutul Grønn (Jutul, U12)",39,2027-03-07
"Jutul Rød (Jutul, U10)",39,2027-03-07
"Jutul Rød (Jutul, U8)",39,2027-02-27
"Ringerike 1 (Ringerike, JU12)",39,2027-03-14
"Ringerike 1 (Ringerike, U10)",39,2027-03-07
"Ringerike 1 (Ringerike, U12)",39,2027-03-13
"Ringerike 2 (Ringerike, JU12)",39,2027-03-13
Ringerike 3,39,2027-02-27
Ringerike 4,39,2027-02-28
"Tønsberg Grå (Tønsberg, U12)",39,2027-03-13
"Jar Blå (Jar, U12)",38,2027-03-13
"Jar Hvit (Jar, U10)",38,2027-03-07
"Ringerike 1 (Ringerike, JU10)",38,2027-03-06
"Skien (Skien, JU10)",38,2027-03-06
"Frisk Asker 1 (Frisk Asker, U10)",35,2027-02-27
Frisk Asker 6,35,2027-02-20
"Jar Grønn (Jar, U10)",35,2027-02-27
"Jar Svart (Jar, U10)",35,2027-02-27
"Jar Rød (Jar, U10)",34,2027-02-21
"Frisk Asker Orange (Frisk Asker, JU10)",33,2027-03-06
"Frisk Asker Svart (Frisk Asker, JU10)",33,2027-02-14
"Jar Blå (Jar, JU10)",33,2027-03-06
"Jar Hvit (Jar, JU10)",33,2027-02-14
"Jar Rød (Jar, JU10)",32,2027-03-06
Frisk Asker,24,2027-03-13
Jar,24,2027-03-13
Jutul Kittens,24,2027-03-13
"Ringerike 1 (Ringerike, JU8)",24,2027-03-13
"Skien (Skien, JU8)",24,2027-03-13
