team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U9)",56,2027-03-14
"Frisk Asker 2 (Frisk Asker, U9)",56,2027-03-14
"Frisk Asker 3 (Frisk Asker, U9)",56,2027-03-14
"Frisk Asker 4 (Frisk Asker, U9)",56,2027-03-14
"Holmen Hockey Hvit (Holmen, U9)",56,2027-03-13
"Holmen Hockey Rød (Holmen, U9)",56,2027-03-14
"Holmen Hockey Sort (Holmen, U9)",56,2027-03-13
"Jar Blå (Jar, U9)",56,2027-03-14
"Jar Hvit (Jar, U9)",56,2027-03-13
"Jar Rød (Jar, U9)",56,2027-03-13
"Jutul Grønn (Jutul, U9)",56,2027-03-13
"Jutul Hvit (Jutul, U9)",56,2027-03-14
"Jutul Rød (Jutul, U9)",56,2027-03-14
"Kongsberg (Kongsberg, U9)",56,2027-02-06
"Ringerike 1 (Ringerike, U9)",56,2027-02-13
"Sandefjord (Sandefjord Penguins, U9)",56,2027-02-13
"Skien (Skien, U9)",56,2027-02-13
"Tønsberg (Tønsberg, U9)",56,2027-02-13
"Frisk Asker 1 (Frisk Asker, U11)",50,2027-03-06
"Frisk Asker 2 (Frisk Asker, U11)",50,2027-03-07
"Frisk Asker 3 (Frisk Asker, U11)",50,2027-03-06
"Frisk Asker 4 (Frisk Asker, U11)",50,2027-03-07
"Holmen Hockey Hvit (Holmen, U11)",50,2027-02-20
"Holmen Hockey Rød (Holmen, U11)",50,2027-02-21
"Jutul Grønn (Jutul, U11)",50,2027-02-27
"Jutul Rød (Jutul, U11)",50,2027-02-21
"Kongsberg (Kongsberg, U11)",50,2027-02-20
"Ringerike 1 (Ringerike, U11)",50,2027-02-20
"Ringerike 2 (Ringerike, U11)",50,2027-02-27
"Sandefjord (Sandefjord Penguins, U11)",50,2027-02-14
"Skien (Skien, U11)",50,2027-02-21
"Tønsberg Grå (Tønsberg, U11)",50,2027-02-21
"Tønsberg Hvit (Tønsberg, U11)",50,2027-02-27
"Tønsberg Rød (Tønsberg, U11)",50,2027-02-28
"Jar Blå (Jar, U11)",45,2027-03-07
"Jar Grønn (Jar, U11)",45,2027-03-07
"Jar Gul (Jar, U11)",45,2027-03-07
Jar Lilla,45,2027-03-07
"Frisk Asker 1 (Frisk Asker, U12)",42,2027-03-07
"Frisk Asker 2 (Frisk Asker, U12)",42,2027-03-13
"Holmen Hockey Hvit (Holmen, U12)",42,2027-03-14
"Jar Blå (Jar, U12)",42,2027-03-14
"Jar Rød (Jar, U12)",42,2027-03-13
"Kongsberg (Kongsberg, U12)",42,2027-03-14
"Kongsberg (Kongsberg, U8)",42,2027-01-31
"Ringerike 1 (Ringerike, U12)",42,2027-03-13
"Ringerike 1 (Ringerike, U8)",42,2027-02-13
"Ringerike 2 (Ringerike, U12)",42,2027-03-13
"Ringerike 2 (Ringerike, U8)",42,2027-02-21
"Sandefjord (Sandefjord Penguins, U8)",42,2027-01-24
"Skien (Skien, JU12)",42,2027-02-14
"Skien (Skien, U8)",42,2027-01-31
"Tønsberg (Tønsberg, U8)",42,2027-01-31
"Tønsberg Grå (Tønsberg, U12)",42,2027-03-13
"Tønsberg Hvit (Tønsberg, U12)",42,2027-03-14
"Tønsberg Rød (Tønsberg, U12)",42,2027-03-13
"Frisk Asker 3 (Frisk Asker, U12)",41,2027-03-14
"Holmen Hockey Rød (Holmen, U12)",41,2027-03-14
"Jar Hvit (Jar, U12)",41,2027-03-14
"Jar Svart (Jar, U12)",41,2027-03-13
"Jutul Grønn (Jutul, U12)",41,2027-03-13
"Jutul Rød (Jutul, U12)",41,2027-03-07
Jutul/Jar Kittens,41,2027-02-20
Kongsberg/Tønsberg,41,2027-02-14
"Frisk Asker 1 (Frisk Asker, U8)",40,2027-03-13
"Holmen Hockey Blå (Holmen, U8)",40,2027-03-07
"Holmen Hockey Hvit (Holmen, U10)",40,2027-03-06
"Holmen Hockey Hvit (Holmen, U8)",40,2027-03-13
"Holmen Hockey Rød (Holmen, U10)",40,2027-02-28
"Holmen Hockey Rød (Holmen, U8)",40,2027-03-13
"Holmen Hockey Sort (Holmen, U10)",40,2027-03-07
"Jar Blå (Jar, U8)",40,2027-02-28
"Jar Hvit (Jar, U11)",40,2027-02-28
"Jar Hvit (Jar, U8)",40,2027-03-13
Jar Oransje,40,2027-03-06
"Jar Rød (Jar, U11)",40,2027-03-06
"Jar Rød (Jar, U8)",40,2027-03-13
"Jar Svart (Jar, U11)",40,2027-03-06
"Jutul Grønn (Jutul, U10)",40,2027-02-27
"Jutul Grønn (Jutul, U8)",40,2027-03-07
