team,games_played,last_game_date
Ringerike 1,279,
Jar Blå,236,
Jar Hvit,228,
Jar Rød,218,
Holmen Hockey Hvit,211,
Frisk Asker 1,208,
Frisk Asker 3,208,
Frisk Asker 2,206,
Holmen Hockey Rød,206,
Jutul Grønn,206,
Jutul Rød,206,
Skien,201,
Kongsberg,191,
Ringerike 2,170,
Jar Svart,158,
Frisk Asker 4,150,
Sandefjord,130,
Jutul Hvit,125,
Tønsberg,125,
Holmen Hockey Sort,115,
Jar Grønn,100,
Tønsberg Grå,86,
Jar Gul,85,
Tønsberg Rød,83,
Tønsberg Hvit,78,
Holmen Hockey Blå,65,
Frisk Asker 5,60,
Frisk Asker Orange,57,
Frisk Asker Svart,57,
Jar Lilla,45,2027-03-06
Jar Oransje,45,2027-02-28
Ringerike 3,40,2027-03-14
Ringerike 4,40,2027-03-06
Frisk Asker 6,35,2027-02-20
Jutul/Jar Kittens,30,2027-03-13
Kongsberg/Tønsberg,30,2027-03-13
Jutul Gul,25,2027-02-27
Frisk Asker,24,2027-03-13
Jar,24,2027-03-13
Jutul Kittens,24,2027-03-13
