team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U11)",50,2027-03-14
"Frisk Asker 2 (Frisk Asker, U11)",50,2027-03-14
"Frisk Asker 3 (Frisk Asker, U11)",50,2027-03-14
"Frisk Asker 4 (Frisk Asker, U11)",50,2027-03-06
"Holmen Hockey Hvit (Holmen, U11)",50,2027-03-13
"Holmen Hockey Rød (Holmen, U11)",50,2027-03-06
"Jar Blå (Jar, U11)",50,2027-02-28
"Jar Grønn (Jar, U11)",50,2027-02-28
"Jar Gul (Jar, U11)",50,2027-03-13
"Jar Hvit (Jar, U11)",50,2027-03-06
Jar Lilla,50,2027-03-06
Jar Oransje,50,2027-03-14
"Jar Rød (Jar, U11)",50,2027-03-14
"Jar Svart (Jar, U11)",50,2027-03-14
"Jutul Grønn (Jutul, U11)",50,2027-03-07
"Jutul Rød (Jutul, U11)",50,2027-03-13
"Kongsberg (Kongsberg, U11)",50,2027-03-07
"Ringerike 1 (Ringerike, U11)",50,2027-03-13
"Ringerike 2 (Ringerike, U11)",50,2027-02-28
"Sandefjord (Sandefjord Penguins, U11)",50,2027-03-06
"Skien (Skien, U11)",50,2027-03-07
"Tønsberg Grå (Tønsberg, U11)",50,2027-03-13
"Tønsberg Hvit (Tønsberg, U11)",50,2027-03-07
"Tønsberg Rød (Tønsberg, U11)",50,2027-03-06
"Frisk Asker 1 (Frisk Asker, U10)",40,2027-03-14
"Frisk Asker 1 (Frisk Asker, U9)",40,2027-03-07
"Frisk Asker 2 (Frisk Asker, U10)",40,2027-03-14
"Frisk Asker 2 (Frisk Asker, U9)",40,2027-03-14
"Frisk Asker 3 (Frisk Asker, U10)",40,2027-03-07
"Frisk Asker 3 (Frisk Asker, U9)",40,2027-03-07
"Frisk Asker 4 (Frisk Asker, U9)",40,2027-03-14
"Holmen Hockey Blå (Holmen, U10)",40,2027-03-07
"Holmen Hockey Hvit (Holmen, U10)",40,2027-03-06
"Holmen Hockey Hvit (Holmen, U9)",40,2027-03-14
"Holmen Hockey Rød (Holmen, U10)",40,2027-03-14
"Holmen Hockey Rød (Holmen, U9)",40,2027-03-14
"Holmen Hockey Sort (Holmen, U9)",40,2027-03-07
"Jar Blå (Jar, U10)",40,2027-03-07
"Jar Blå (Jar, U9)",40,2027-03-14
"Jar Grønn (Jar, U10)",40,2027-03-14
"Jar Hvit (Jar, U10)",40,2027-03-07
"Jar Hvit (Jar, U9)",40,2027-03-14
"Jar Rød (Jar, U9)",40,2027-03-07
"Jutul Grønn (Jutul, U10)",40,2027-03-14
"Jutul Grønn (Jutul, U9)",40,2027-03-07
"Jutul Hvit (Jutul, U10)",40,2027-03-06
"Jutul Hvit (Jutul, U9)",40,2027-03-14
"Jutul Rød (Jutul, U10)",40,2027-03-07
"Jutul Rød (Jutul, U9)",40,2027-03-14
"Kongsberg (Kongsberg, U10)",40,2027-02-14
"Kongsberg (Kongsberg, U9)",40,2027-02-21
"Ringerike 1 (Ringerike, JU10)",40,2027-02-27
"Ringerike 1 (Ringerike, U10)",40,2027-03-06
"Ringerike 1 (Ringerike, U9)",40,2027-02-21
"Ringerike 2 (Ringerike, U10)",40,2027-03-14
Ringerike 4,40,2027-03-07
"Sandefjord (Sandefjord Penguins, U9)",40,2027-02-21
"Skien (Skien, JU10)",40,2027-02-27
"Skien (Skien, U9)",40,2027-03-07
"Tønsberg (Tønsberg, U10)",40,2027-02-27
"Tønsberg (Tønsberg, U9)",40,2027-03-07
"Frisk Asker 1 (Frisk Asker, U12)",36,2027-03-14
"Frisk Asker 3 (Frisk Asker, U12)",36,2027-03-14
"Holmen Hockey Rød (Holmen, U12)",36,2027-03-14
"Jar Blå (Jar, U12)",36,2027-03-14
"Jutul Grønn (Jutul, U12)",36,2027-03-14
"Kongsberg (Kongsberg, U12)",36,2027-03-14
"Ringerike 2 (Ringerike, U12)",36,2027-03-13
"Tønsberg Grå (Tønsberg, U12)",36,2027-03-13
"Tønsberg Hvit (Tønsberg, U12)",36,2027-03-14
"Frisk Asker 4 (Frisk Asker, U10)",35,2027-03-06
"Frisk Asker 5 (Frisk Asker, U10)",35,2027-02-20
Frisk Asker 6,35,2027-02-27
"Frisk Asker Orange (Frisk Asker, JU10)",35,2027-02-27
"Frisk Asker Svart (Frisk Asker, JU10)",35,2027-02-27
"Holmen Hockey Sort (Holmen, U10)",35,2027-02-27
"Jar Gul (Jar, U10)",35,2027-02-21
"Jar Rød (Jar, U10)",35,2027-03-06
"Jar Svart (Jar, U10)",35,2027-02-20
Ringerike 3,35,2027-02-27
"Frisk Asker 2 (Frisk Asker, U12)",33,2027-03-13
"Holmen Hockey Hvit (Holmen, U12)",33,2027-03-07
"Jar Hvit (Jar, U12)",33,2027-03-13
"Jar Rød (Jar, U12)",33,2027-03-13
"Jar Svart (Jar, U12)",33,2027-03-14
"Jutul Rød (Jutul, U12)",33,2027-03-06
"Ringerike 1 (Ringerike, U12)",33,2027-02-28
"Tønsberg Rød (Tønsberg, U12)",33,2027-03-06
"Frisk Asker 1 (Frisk Asker, U8)",30,2027-02-14
"Frisk Asker 3 (Frisk Asker, U8)",30,2027-02-27
"Frisk Asker 4 (Frisk Asker, U8)",30,2027-02-28
"Holmen Hockey Hvit (Holmen, U8)",30,2027-02-14
"Jar Blå (Jar, JU10)",30,2027-02-21
"Jar Hvit (Jar, JU10)",30,2027-02-27
"Jar Hvit (Jar, U8)",30,2027-02-27
"Jar Rød (Jar, JU10)",30,2027-02-27
"Jar Svart (Jar, U8)",30,2027-02-28
Jutul Gul,30,2027-02-28
Jutul/Jar Kittens,30,2027-03-07
"Kongsberg (Kongsberg, U8)",30,2027-02-14
Kongsberg/Tønsberg,30,2027-03-07
"Ringerike 1 (Ringerike, U8)",30,2027-02-13
"Ringerike 2 (Ringerike, U8)",30,2027-02-27
"Sandefjord (Sandefjord Penguins, U8)",30,2027-02-14
"Skien (Skien, U8)",30,2027-02-27
"Tønsberg (Tønsberg, U8)",30,2027-02-14
"Frisk Asker Svart (Frisk Asker, JU12)",27,2027-03-13
"Ringerike 1 (Ringerike, JU12)",27,2027-03-13
"Ringerike 2 (Ringerike, JU12)",27,2027-03-13
"Skien (Skien, JU12)",27,2027-03-06
"Frisk Asker 2 (Frisk Asker, U8)",25,2027-02-27
"Frisk Asker 5 (Frisk Asker, U8)",25,2027-02-27
"Holmen Hockey Blå (Holmen, U8)",25,2027-02-28
"Holmen Hockey Rød (Holmen, U8)",25,2027-02-28
"Holmen Hockey Sort (Holmen, U8)",25,2027-02-27
"Jar Blå (Jar, U8)",25,2027-02-14
"Jar Rød (Jar, U8)",25,2027-02-28
"Jutul Grønn (Jutul, U8)",25,2027-02-27
"Jutul Hvit (Jutul, U8)",25,2027-02-28
"Jutul Rød (Jutul, U8)",25,2027-02-28
Frisk Asker,24,2027-03-07
"Frisk Asker Orange (Frisk Asker, JU12)",24,2027-03-13
Jar,24,2027-03-07
Jutul Kittens,24,2027-03-07
"Ringerike 1 (Ringerike, JU8)",24,2027-03-07
"Skien (Skien, JU8)",24,2027-03-07
"Frisk Asker 1 (Frisk Asker, U7)",15,2027-02-27
"Frisk Asker 2 (Frisk Asker, U7)",15,2027-02-28
"Frisk Asker 3 (Frisk Asker, U7)",15,2027-02-27
"Holmen Hockey Hvit (Holmen, U7)",15,2027-02-27
"Holmen Hockey Rød (Holmen, U7)",15,2027-02-28
"Holmen Hockey Sort (Holmen, U7)",15,2027-02-28
"Jar Blå (Jar, U7)",15,2027-02-27
"Jar Grønn (Jar, U7)",15,2027-02-28
"Jar Hvit (Jar, U7)",15,2027-02-27
"Jar Rød (Jar, U7)",15,2027-02-28
"Jar Svart (Jar, U7)",15,2027-02-28
"Jutul Grønn (Jutul, U7)",15,2027-02-28
"Jutul Hvit (Jutul, U7)",15,2027-02-28
"Jutul Rød (Jutul, U7)",15,2027-02-27
"Sandefjord (Sandefjord Penguins, U7)",15,2027-02-20
"Tønsberg (Tønsberg, U7)",15,2027-02-20
