date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2026-10-10,Askerhallen,U10,Frisk Asker,6,15,Ringerike 1~50km,nei,
2026-10-10,Holmen ishall,U12,Holmen,4,6,Tønsberg Grå~83km,nei,
2026-10-10,Holmen ishall,U12,Holmen,4,6,Kongsberg~64km,nei,
2026-10-11,Skien ishall,JU10,Skien,5,10,Jar Blå~122km,nei,
2026-10-11,Tonsberghallen,U11,Tønsberg,6,15,Jar Rød~92km,nei,
2026-10-11,Ringerikshallen,U12,Ringerike,4,6,Frisk Asker 2~50km,nei,
2026-10-11,Holmen ishall,U9,Holmen,8,20,Skien~111km,nei,
2026-10-11,Ringerikshallen,U10,Ringerike,6,15,Tønsberg~131km,nei,
2026-10-17,Baerum ishall,U8,Jutul,8,20,Tønsberg~92km,nei,
2026-10-18,Askerhallen,U9,Frisk Asker,8,20,Skien~109km,nei,
2026-10-25,Skien ishall,JU8,Skien,5,10,Ringerike 1~147km,nei,
2026-10-24,Holmen ishall,U10,Holmen,6,15,Kongsberg~64km,nei,
2026-10-24,Baerum ishall,U11,Jutul,6,15,Tønsberg Rød~92km,nei,
2026-10-24,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Rød~82km,nei,
2026-10-24,Bugården ishall,U9,Sandefjord Penguins,8,20,Ringerike 1~150km,nei,
2026-10-25,Ringerikshallen,JU12,Ringerike,4,6,Skien~147km,nei,
2026-10-25,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2026-10-25,Holmen ishall,U12,Holmen,4,6,Tønsberg Hvit~83km,nei,
2026-10-24,Kongsberghallen,U8,Kongsberg,8,20,Ringerike 2~85km,nei,
2026-10-31,Skien ishall,JU12,Skien,4,6,Ringerike 2~147km,nei,
2026-11-01,Holmen ishall,U11,Holmen,6,15,Tønsberg Hvit~83km,nei,
2026-11-01,Baerum ishall,U12,Jutul,4,6,Tønsberg Grå~92km,nei,
2026-11-01,Bugården ishall,U8,Sandefjord Penguins,8,20,Ringerike 2~150km,nei,
2026-11-07,Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2026-11-07,Holmen ishall,U11,Holmen,6,15,Tønsberg Hvit~83km,nei,
2026-11-01,Skien ishall,U9,Skien,8,20,Jar Hvit~122km,nei,
2026-11-08,Askerhallen,JU10,Frisk Asker,6,15,Skien~109km,nei,
2026-11-08,Baerum ishall,U10,Jutul,6,15,Ringerike 1~44km,nei,
2026-11-14,Askerhallen,U10,Frisk Asker,6,15,Ringerike 3~50km,nei,
2026-11-14,Holmen ishall,U8,Holmen,8,20,Skien~111km,nei,
2026-11-15,Skien ishall,JU12,Skien,4,6,Ringerike 1~147km,nei,
2026-11-21,Ringerikshallen,JU8,Ringerike,5,10,Skien~147km,nei,
2026-11-21,Holmen ishall,U10,Holmen,6,15,Tønsberg~83km,nei,
2026-11-21,Baerum ishall,U9,Jutul,8,20,Tønsberg~92km,nei,
2026-11-22,Ringerikshallen,U10,Ringerike,6,15,Kongsberg~85km,nei,
2026-11-22,Holmen ishall,U12,Holmen,4,6,Ringerike 2~49km,nei,
2026-11-22,Skien ishall,U8,Skien,8,20,Jar Hvit~122km,nei,
2026-11-28,Askerhallen,JU12,Frisk Asker,4,6,Skien~109km,nei,
2026-11-28,Baerum ishall,U10,Jutul,6,15,Ringerike 4~44km,nei,
2026-11-28,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Rød~82km,nei,
2026-11-28,Tonsberghallen,U12,Tønsberg,4,6,Jutul Rød~92km,nei,
2026-11-29,Ringerikshallen,JU12,Ringerike,4,6,Frisk Asker Svart~50km,nei,
2026-11-29,Holmen ishall,U12,Holmen,4,6,Tønsberg Rød~83km,nei,
2026-12-05,Baerum ishall,JU12,Jutul,4,6,Frisk Asker Orange~12km,nei,
2026-12-05,Ringerikshallen,U10,Ringerike,6,15,Kongsberg~85km,nei,
2026-12-05,Baerum ishall,U11,Jutul,6,15,Tønsberg Grå~92km,nei,
2026-12-05,Tonsberghallen,U8,Tønsberg,8,20,Jar Svart~92km,nei,
2026-12-05,Jar Isforum,JU10,Jar,6,15,Skien~122km,nei,
2026-12-06,Baerum ishall,U12,Jutul,4,6,Frisk Asker 2~12km,nei,
2026-11-29,Ringerikshallen,U8,Ringerike,8,20,Sandefjord~150km,nei,
2026-11-14,Holmen ishall,U9,Holmen,8,20,Skien~111km,nei,
2026-12-12,Ringerikshallen,JU10,Ringerike,5,10,Frisk Asker Svart~50km,nei,
