team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U9)",56,2027-03-07
"Frisk Asker 2 (Frisk Asker, U9)",56,2027-03-14
"Frisk Asker 3 (Frisk Asker, U9)",56,2027-03-14
"Frisk Asker 4 (Frisk Asker, U9)",56,2027-03-14
"Holmen Hockey Hvit (Holmen, U9)",56,2027-03-07
"Holmen Hockey Rød (Holmen, U9)",56,2027-03-14
"Holmen Hockey Sort (Holmen, U9)",56,2027-03-07
"Jar Blå (Jar, U9)",56,2027-03-14
"Jar Hvit (Jar, U9)",56,2027-03-07
"Jar Rød (Jar, U9)",56,2027-03-14
"Jutul Grønn (Jutul, U9)",56,2027-03-14
"Jutul Hvit (Jutul, U9)",56,2027-03-07
"Jutul Rød (Jutul, U9)",56,2027-03-14
"Kongsberg (Kongsberg, U9)",56,2027-02-28
"Ringerike 1 (Ringerike, U9)",56,2027-03-07
"Sandefjord (Sandefjord Penguins, U9)",56,2027-03-07
"Skien (Skien, U9)",56,2027-02-28
"Tønsberg (Tønsberg, U9)",56,2027-03-07
"Frisk Asker 1 (Frisk Asker, U11)",50,2027-03-13
"Frisk Asker 2 (Frisk Asker, U11)",50,2027-03-06
"Frisk Asker 3 (Frisk Asker, U11)",50,2027-02-28
"Frisk Asker 4 (Frisk Asker, U11)",50,2027-03-07
"Holmen Hockey Hvit (Holmen, U11)",50,2027-03-07
"Holmen Hockey Rød (Holmen, U11)",50,2027-03-13
"Jar Blå (Jar, U11)",50,2027-03-13
"Jar Grønn (Jar, U11)",50,2027-03-14
"Jar Gul (Jar, U11)",50,2027-03-14
"Jar Hvit (Jar, U11)",50,2027-03-13
Jar Lilla,50,2027-03-14
Jar Oransje,50,2027-03-14
"Jar Rød (Jar, U11)",50,2027-03-14
"Jar Svart (Jar, U11)",50,2027-03-14
"Jutul Grønn (Jutul, U11)",50,2027-02-28
"Jutul Rød (Jutul, U11)",50,2027-03-06
"Kongsberg (Kongsberg, U11)",50,2027-03-06
"Ringerike 1 (Ringerike, U11)",50,2027-03-06
"Ringerike 2 (Ringerike, U11)",50,2027-03-07
"Sandefjord (Sandefjord Penguins, U11)",50,2027-03-13
"Skien (Skien, U11)",50,2027-03-07
"Tønsberg Grå (Tønsberg, U11)",50,2027-02-28
"Tønsberg Hvit (Tønsberg, U11)",50,2027-03-07
"Tønsberg Rød (Tønsberg, U11)",50,2027-03-13
"Frisk Asker 1 (Frisk Asker, U8)",42,2027-03-06
"Frisk Asker 4 (Frisk Asker, U8)",42,2027-03-06
"Holmen Hockey Blå (Holmen, U8)",42,2027-02-21
"Holmen Hockey Sort (Holmen, U8)",42,2027-03-06
"Jar Hvit (Jar, U8)",42,2027-03-06
"Jutul Grønn (Jutul, U8)",42,2027-03-06
"Jutul Hvit (Jutul, U8)",42,2027-03-06
"Kongsberg (Kongsberg, U8)",42,2027-02-21
"Ringerike 1 (Ringerike, U8)",42,2027-02-21
"Ringerike 2 (Ringerike, U8)",42,2027-03-06
"Sandefjord (Sandefjord Penguins, U8)",42,2027-02-13
"Skien (Skien, U8)",42,2027-03-06
"Tønsberg (Tønsberg, U8)",42,2027-02-21
"Frisk Asker 1 (Frisk Asker, U10)",40,2027-03-13
"Frisk Asker 2 (Frisk Asker, U10)",40,2027-03-13
"Holmen Hockey Blå (Holmen, U10)",40,2027-03-13
"Holmen Hockey Hvit (Holmen, U10)",40,2027-03-07
"Holmen Hockey Rød (Holmen, U10)",40,2027-02-28
"Holmen Hockey Sort (Holmen, U10)",40,2027-03-06
"Jar Blå (Jar, U10)",40,2027-03-06
"Jar Hvit (Jar, U10)",40,2027-03-13
"Jutul Grønn (Jutul, U10)",40,2027-03-13
"Jutul Hvit (Jutul, U10)",40,2027-03-06
"Jutul Rød (Jutul, U10)",40,2027-03-07
"Kongsberg (Kongsberg, U10)",40,2027-03-06
"Ringerike 1 (Ringerike, JU10)",40,2027-03-06
"Ringerike 1 (Ringerike, U10)",40,2027-03-06
"Ringerike 2 (Ringerike, U10)",40,2027-03-13
Ringerike 3,40,2027-03-07
Ringerike 4,40,2027-02-28
"Skien (Skien, JU10)",40,2027-03-06
"Tønsberg (Tønsberg, U10)",40,2027-02-28
"Frisk Asker 2 (Frisk Asker, U8)",39,2027-03-13
"Frisk Asker 3 (Frisk Asker, U8)",39,2027-02-21
"Frisk Asker 5 (Frisk Asker, U8)",39,2027-03-13
"Holmen Hockey Hvit (Holmen, U8)",39,2027-02-13
"Holmen Hockey Rød (Holmen, U8)",39,2027-03-13
"Jar Blå (Jar, U8)",39,2027-03-13
"Jar Rød (Jar, U8)",39,2027-02-21
"Jar Svart (Jar, U8)",39,2027-02-21
Jutul Gul,39,2027-02-21
"Jutul Rød (Jutul, U8)",39,2027-03-13
"Frisk Asker 3 (Frisk Asker, U10)",38,2027-03-14
"Frisk Asker 4 (Frisk Asker, U10)",38,2027-03-06
"Frisk Asker 5 (Frisk Asker, U10)",38,2027-03-07
Frisk Asker 6,38,2027-03-07
"Jar Blå (Jar, JU10)",38,2027-03-14
"Jar Grønn (Jar, U10)",38,2027-03-14
"Jar Gul (Jar, U10)",38,2027-03-07
"Jar Hvit (Jar, JU10)",38,2027-03-06
"Jar Rød (Jar, U10)",38,2027-03-14
"Jar Svart (Jar, U10)",38,2027-03-14
"Frisk Asker Orange (Frisk Asker, JU10)",36,2027-03-14
"Frisk Asker Svart (Frisk Asker, JU10)",36,2027-03-14
"Jar Rød (Jar, JU10)",36,2027-03-14
"Frisk Asker 1 (Frisk Asker, U12)",30,2027-03-07
"Frisk Asker 2 (Frisk Asker, U12)",30,2027-03-06
"Frisk Asker 3 (Frisk Asker, U12)",30,2027-03-13
"Holmen Hockey Hvit (Holmen, U12)",30,2027-03-06
"Holmen Hockey Rød (Holmen, U12)",30,2027-03-14
"Jar Blå (Jar, U12)",30,2027-03-07
"Jar Hvit (Jar, U12)",30,2027-03-13
"Jar Rød (Jar, U12)",30,2027-03-14
"Jar Svart (Jar, U12)",30,2027-03-06
"Jutul Grønn (Jutul, U12)",30,2027-03-14
"Jutul Rød (Jutul, U12)",30,2027-03-07
Jutul/Jar Kittens,30,2027-02-28
"Kongsberg (Kongsberg, U12)",30,2027-03-13
Kongsberg/Tønsberg,30,2027-02-28
"Ringerike 1 (Ringerike, U12)",30,2027-03-07
"Ringerike 2 (Ringerike, U12)",30,2027-03-14
"Tønsberg Rød (Tønsberg, U12)",30,2027-03-13
"Frisk Asker Orange (Frisk Asker, JU12)",29,2027-03-13
"Frisk Asker Svart (Frisk Asker, JU12)",29,2027-02-28
"Ringerike 2 (Ringerike, JU12)",29,2027-03-13
"Skien (Skien, JU12)",29,2027-02-27
"Ringerike 1 (Ringerike, JU12)",28,2027-03-13
"Tønsberg Grå (Tønsberg, U12)",27,2027-02-21
"Tønsberg Hvit (Tønsberg, U12)",27,2027-02-28
Frisk Asker,24,2027-03-14
Jar,24,2027-03-14
Jutul Kittens,24,2027-03-14
"Ringerike 1 (Ringerike, JU8)",24,2027-03-14
"Skien (Skien, JU8)",24,2027-03-14
