date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2026-10-10,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Grå~82km,nei,
2026-10-10,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Grå~82km,nei,
2026-10-10,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 1~131km,nei,
2026-10-10,Holmen ishall,U12,Holmen,4,6,Tønsberg Rød~83km,nei,
2026-10-10,Baerum ishall,U12,Jutul,4,6,Ringerike 2~44km,nei,
2026-10-10,Kongsberghallen,U9,Kongsberg,8,20,Sandefjord~88km,nei,
2026-10-11,Skien ishall,JU8,Skien,5,10,Ringerike 1~147km,nei,
2026-10-11,Askerhallen,U10,Frisk Asker,6,15,Kongsberg~62km,nei,
2026-10-11,Bugården ishall,U11,Sandefjord Penguins,6,15,Jar Grønn~114km,nei,
2026-10-11,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Hvit~82km,nei,
2026-10-11,Askerhallen,U12,Frisk Asker,4,6,Kongsberg~62km,nei,
2026-10-17,Holmen ishall,U10,Holmen,6,15,Tønsberg~83km,nei,
2026-10-17,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 2~131km,nei,
2026-10-17,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Grå~82km,nei,
2026-10-17,Baerum ishall,U8,Jutul,8,20,Skien~121km,nei,
2026-10-18,Askerhallen,JU10,Frisk Asker,6,15,Skien~109km,nei,
2026-10-18,Kongsberghallen,JU12,Kongsberg,4,6,Ringerike 1~85km,nei,
2026-10-18,Holmen ishall,U11,Holmen,6,15,Tønsberg Grå~83km,nei,
2026-10-18,Holmen ishall,U12,Holmen,4,6,Tønsberg Rød~83km,nei,
2026-10-24,Kongsberghallen,U10,Kongsberg,6,15,Ringerike 3~85km,nei,
2026-10-24,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2026-10-24,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Grå~82km,nei,
2026-10-24,Bugården ishall,U9,Sandefjord Penguins,8,20,Ringerike 1~150km,nei,
2026-10-25,Baerum ishall,JU12,Jutul,4,6,Skien~121km,nei,
2026-10-25,Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2026-10-25,Baerum ishall,U11,Jutul,6,15,Sandefjord~114km,nei,
2026-10-25,Ringerikshallen,U12,Ringerike,4,6,Holmen Hockey Rød~49km,nei,
2026-10-25,Holmen ishall,U8,Holmen,8,20,Skien~111km,nei,
2026-10-31,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 2~131km,nei,
2026-10-31,Holmen ishall,U12,Holmen,4,6,Kongsberg~64km,nei,
2026-10-31,Holmen ishall,U9,Holmen,8,20,Skien~111km,nei,
2026-11-01,Askerhallen,U10,Frisk Asker,6,15,Tønsberg~82km,nei,
2026-11-01,Baerum ishall,U11,Jutul,6,15,Ringerike 1~44km,nei,
2026-11-01,Baerum ishall,U12,Jutul,4,6,Tønsberg Rød~92km,nei,
2026-11-01,Bugården ishall,U8,Sandefjord Penguins,8,20,Ringerike 2~150km,nei,
2026-11-07,Askerhallen,JU12,Frisk Asker,4,6,Skien~109km,nei,
2026-11-07,Askerhallen,U10,Frisk Asker,6,15,Ringerike 4~50km,nei,
2026-11-07,Ringerikshallen,U11,Ringerike,6,15,Tønsberg Grå~131km,nei,
2026-11-07,Jar Isforum,U12,Jar,4,6,Tønsberg Hvit~92km,nei,
2026-11-08,Ringerikshallen,JU12,Ringerike,4,6,Skien~147km,nei,
2026-11-08,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2026-11-08,Askerhallen,U12,Frisk Asker,4,6,Ringerike 2~50km,nei,
2026-11-08,Holmen ishall,U9,Holmen,8,20,Jar Rød~12km,nei,
2026-11-14,Baerum ishall,U10,Jutul,6,15,Ringerike 2~44km,nei,
2026-11-14,Askerhallen,U11,Frisk Asker,6,15,Sandefjord~103km,nei,
2026-11-14,Jar Isforum,U12,Jar,4,6,Tønsberg Grå~92km,nei,
2026-11-14,Jar Isforum,U8,Jar,8,20,Tønsberg~92km,nei,
2026-11-15,Jar Isforum,U10,Jar,6,15,Ringerike 3~45km,nei,
2026-11-15,Askerhallen,U11,Frisk Asker,6,15,Tønsberg Hvit~82km,nei,
2026-11-15,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 1~131km,nei,
2026-11-15,Holmen ishall,U8,Holmen,8,20,Kongsberg~64km,nei,
2026-11-21,Askerhallen,JU8,Frisk Asker,5,10,Skien~109km,nei,
2026-11-21,Askerhallen,U10,Frisk Asker,6,15,Kongsberg~62km,nei,
2026-11-21,Tonsberghallen,U11,Tønsberg,6,15,Jar Oransje~92km,nei,
2026-11-21,Baerum ishall,U12,Jutul,4,6,Tønsberg Hvit~92km,nei,
2026-11-21,Ringerikshallen,U9,Ringerike,8,20,Sandefjord~150km,nei,
2026-11-22,Askerhallen,JU12,Frisk Asker,4,6,Ringerike 2~50km,nei,
2026-11-22,Holmen ishall,U10,Holmen,6,15,Tønsberg~83km,nei,
2026-11-22,Askerhallen,U11,Frisk Asker,6,15,Sandefjord~103km,nei,
2026-11-22,Kongsberghallen,U12,Kongsberg,4,6,Jar Svart~75km,nei,
2026-11-22,Skien ishall,U8,Skien,8,20,Jar Blå~122km,nei,
2026-11-28,Ringerikshallen,U10,Ringerike,6,15,Frisk Asker 2~50km,nei,
2026-11-28,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2026-11-28,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 1~131km,nei,
2026-11-28,Baerum ishall,U9,Jutul,8,20,Sandefjord~114km,nei,
2026-11-29,Jar Isforum,U10,Jar,6,15,Ringerike 3~45km,nei,
2026-11-29,Bugården ishall,U11,Sandefjord Penguins,6,15,Jar Gul~114km,nei,
2026-11-29,Holmen ishall,U12,Holmen,4,6,Tønsberg Hvit~83km,nei,
2026-11-29,Askerhallen,U9,Frisk Asker,8,20,Jar Hvit~14km,nei,
2026-12-05,Jar Isforum,JU10,Jar,6,15,Skien~122km,nei,
2026-12-05,Baerum ishall,U10,Jutul,6,15,Ringerike 3~44km,nei,
2026-12-05,Ringerikshallen,U11,Ringerike,6,15,Kongsberg~85km,nei,
2026-12-05,Askerhallen,U12,Frisk Asker,4,6,Tønsberg Rød~82km,nei,
2026-12-05,Askerhallen,U8,Frisk Asker,8,20,Sandefjord~103km,nei,
2026-12-06,Ringerikshallen,JU12,Ringerike,4,6,Frisk Asker Svart~50km,nei,
2026-12-06,Askerhallen,U10,Frisk Asker,6,15,Tønsberg~82km,nei,
2026-12-06,Holmen ishall,U11,Holmen,6,15,Skien~111km,nei,
2026-12-06,Ringerikshallen,U12,Ringerike,4,6,Tønsberg Hvit~131km,nei,
2026-12-06,Tonsberghallen,U9,Tønsberg,8,20,Jar Blå~92km,nei,
2026-12-12,Askerhallen,JU12,Frisk Asker,4,6,Skien~109km,nei,
2026-12-12,Jar Isforum,U10,Jar,6,15,Kongsberg~75km,nei,
2026-12-12,Baerum ishall,U11,Jutul,6,15,Tønsberg Rød~92km,nei,
2026-12-12,Tonsberghallen,U12,Tønsberg,4,6,Jar Blå~92km,nei,
2026-12-12,Askerhallen,U9,Frisk Asker,8,20,Jar Hvit~14km,nei,
2026-12-13,Jar Isforum,JU10,Jar,6,15,Skien~122km,nei,
2026-12-13,Ringerikshallen,JU8,Ringerike,5,10,Skien~147km,nei,
2026-12-13,Askerhallen,U10,Frisk Asker,6,15,Ringerike 1~50km,nei,
2026-12-13,Tonsberghallen,U11,Tønsberg,6,15,Jar Gul~92km,nei,
2026-12-13,Tonsberghallen,U12,Tønsberg,4,6,Jutul Grønn~92km,nei,
2026-12-13,Askerhallen,U8,Frisk Asker,8,20,Jar Rød~14km,nei,
2027-01-09,Holmen ishall,U10,Holmen,6,15,Tønsberg~83km,nei,
2027-01-09,Jar Isforum,U11,Jar,6,15,Tønsberg Hvit~92km,nei,
2027-01-09,Askerhallen,U12,Frisk Asker,4,6,Jar Hvit~14km,nei,
2027-01-09,Bugården ishall,U7,Sandefjord Penguins,8,20,Jar Blå~114km,nei,
2027-01-09,Ringerikshallen,U8,Ringerike,8,20,Sandefjord~150km,nei,
2027-01-09,Jar Isforum,U9,Jar,8,20,Skien~122km,nei,
2027-01-10,Jar Isforum,JU10,Jar,6,15,Skien~122km,nei,
2027-01-10,Ringerikshallen,JU12,Ringerike,4,6,Skien~147km,nei,
2027-01-10,Ringerikshallen,U10,Ringerike,6,15,Kongsberg~85km,nei,
2027-01-10,Askerhallen,U11,Frisk Asker,6,15,Skien~109km,nei,
2027-01-10,Jar Isforum,U12,Jar,4,6,Ringerike 1~45km,nei,
2027-01-16,Kongsberghallen,JU12,Kongsberg,4,6,Ringerike 2~85km,nei,
2027-01-16,Baerum ishall,U10,Jutul,6,15,Tønsberg~92km,nei,
2027-01-16,Tonsberghallen,U11,Tønsberg,6,15,Ringerike 2~131km,nei,
2027-01-16,Holmen ishall,U12,Holmen,4,6,Tønsberg Hvit~83km,nei,
2027-01-16,Holmen ishall,U9,Holmen,8,20,Skien~111km,nei,
2027-01-17,Jar Isforum,JU8,Jar,5,10,Skien~122km,nei,
2027-01-17,Askerhallen,U10,Frisk Asker,6,15,Ringerike 3~50km,nei,
2027-01-17,Kongsberghallen,U11,Kongsberg,6,15,Tønsberg Hvit~80km,nei,
2027-01-17,Ringerikshallen,U12,Ringerike,4,6,Tønsberg Rød~131km,nei,
