team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U9)",56,2027-03-13
"Frisk Asker 2 (Frisk Asker, U9)",56,2027-03-14
"Frisk Asker 3 (Frisk Asker, U9)",56,2027-03-14
"Frisk Asker 4 (Frisk Asker, U9)",56,2027-03-14
"Holmen Hockey Hvit (Holmen, U9)",56,2027-03-13
"Holmen Hockey Rød (Holmen, U9)",56,2027-03-14
"Holmen Hockey Sort (Holmen, U9)",56,2027-03-13
"Jar Blå (Jar, U9)",56,2027-03-14
"Jar Hvit (Jar, U9)",56,2027-03-13
"Jar Rød (Jar, U9)",56,2027-03-14
"Jutul Grønn (Jutul, U9)",56,2027-03-14
"Jutul Hvit (Jutul, U9)",56,2027-03-13
"Jutul Rød (Jutul, U9)",56,2027-03-14
"Kongsberg (Kongsberg, U9)",56,2027-02-28
"Ringerike 1 (Ringerike, U9)",56,2027-03-13
"Sandefjord (Sandefjord Penguins, U9)",56,2027-03-13
"Skien (Skien, U9)",56,2027-02-28
"Tønsberg (Tønsberg, U9)",56,2027-03-13
"Frisk Asker 1 (Frisk Asker, U11)",50,2027-03-13
"Frisk Asker 2 (Frisk Asker, U11)",50,2027-03-06
"Frisk Asker 3 (Frisk Asker, U11)",50,2027-02-28
"Frisk Asker 4 (Frisk Asker, U11)",50,2027-03-07
"Holmen Hockey Hvit (Holmen, U11)",50,2027-03-07
"Holmen Hockey Rød (Holmen, U11)",50,2027-03-13
"Jar Blå (Jar, U11)",50,2027-03-13
"Jar Grønn (Jar, U11)",50,2027-03-14
"Jar Gul (Jar, U11)",50,2027-03-14
"Jar Hvit (Jar, U11)",50,2027-03-13
Jar Lilla,50,2027-03-14
Jar Oransje,50,2027-03-14
"Jar Rød (Jar, U11)",50,2027-03-14
"Jar Svart (Jar, U11)",50,2027-03-14
"Jutul Grønn (Jutul, U11)",50,2027-02-28
"Jutul Rød (Jutul, U11)",50,2027-03-06
"Kongsberg (Kongsberg, U11)",50,2027-03-06
"Ringerike 1 (Ringerike, U11)",50,2027-03-06
"Ringerike 2 (Ringerike, U11)",50,2027-03-07
