team,games_played,last_game_date
"Frisk Asker 1 (Frisk Asker, U7)",42,2027-04-11
"Frisk Asker 1 (Frisk Asker, U8)",42,2027-04-11
"Frisk Asker 2 (Frisk Asker, U7)",42,2027-04-17
"Frisk Asker 3 (Frisk Asker, U7)",42,2027-04-17
"Frisk Asker 3 (Frisk Asker, U9)",42,2027-02-28
"Frisk Asker 4 (Frisk Asker, U8)",42,2027-04-11
"Holmen Hockey Blå (Holmen, U8)",42,2027-04-10
"Holmen Hockey Hvit (Holmen, U7)",42,2027-04-17
"Holmen Hockey Rød (Holmen, U7)",42,2027-04-11
"Holmen Hockey Sort (Holmen, U7)",42,2027-04-17
"Holmen Hockey Sort (Holmen, U8)",42,2027-04-11
"Jar Blå (Jar, U7)",42,2027-04-11
"Jar Grønn (Jar, U7)",42,2027-04-11
"Jar Hvit (Jar, U7)",42,2027-04-11
"Jar Hvit (Jar, U8)",42,2027-04-11
"Jar Rød (Jar, U7)",42,2027-04-17
"Jar Svart (Jar, U7)",42,2027-04-17
"Jutul Grønn (Jutul, U7)",42,2027-04-17
"Jutul Grønn (Jutul, U8)",42,2027-04-11
"Jutul Hvit (Jutul, U7)",42,2027-04-11
"Jutul Hvit (Jutul, U8)",42,2027-04-11
"Jutul Rød (Jutul, U7)",42,2027-04-17
"Kongsberg (Kongsberg, U8)",42,2027-04-10
"Kongsberg (Kongsberg, U9)",42,2027-02-27
"Ringerike 1 (Ringerike, U8)",42,2027-04-10
"Ringerike 1 (Ringerike, U9)",42,2027-02-27
"Ringerike 2 (Ringerike, U8)",42,2027-04-11
"Sandefjord (Sandefjord Penguins, U7)",42,2027-04-11
"Sandefjord (Sandefjord Penguins, U8)",42,2027-02-14
"Sandefjord (Sandefjord Penguins, U9)",42,2027-02-27
"Skien (Skien, U8)",42,2027-04-11
"Skien (Skien, U9)",42,2027-02-28
"Tønsberg (Tønsberg, U7)",42,2027-04-11
"Tønsberg (Tønsberg, U8)",42,2027-04-10
"Tønsberg (Tønsberg, U9)",42,2027-02-28
"Frisk Asker 1 (Frisk Asker, U9)",40,2027-04-10
"Frisk Asker 2 (Frisk Asker, U9)",40,2027-02-28
"Frisk Asker 4 (Frisk Asker, U9)",40,2027-02-28
"Holmen Hockey Hvit (Holmen, U9)",40,2027-04-10
"Holmen Hockey Rød (Holmen, U9)",40,2027-04-10
"Holmen Hockey Sort (Holmen, U9)",40,2027-02-28
"Jar Blå (Jar, U9)",40,2027-04-10
"Jar Hvit (Jar, U9)",40,2027-04-10
"Jar Rød (Jar, U9)",40,2027-02-28
"Jutul Grønn (Jutul, U9)",40,2027-04-10
"Jutul Hvit (Jutul, U9)",40,2027-02-27
"Jutul Rød (Jutul, U9)",40,2027-02-28
"Frisk Asker 2 (Frisk Asker, U8)",39,2027-04-17
"Frisk Asker 3 (Frisk Asker, U8)",39,2027-04-10
"Frisk Asker 5 (Frisk Asker, U8)",39,2027-04-17
"Holmen Hockey Hvit (Holmen, U8)",39,2027-02-14
"Holmen Hockey Rød (Holmen, U8)",39,2027-04-17
