team,games_played,last_game_date
"Jar Blå (Jar, U8)",39,2027-04-17
"Jar Rød (Jar, U8)",39,2027-04-10
"Jar Svart (Jar, U8)",39,2027-04-10
Jutul Gul,39,2027-04-10
"Jutul Rød (Jutul, U8)",39,2027-04-17
"Frisk Asker 1 (Frisk Asker, U10)",30,2027-03-06
"Frisk Asker 1 (Frisk Asker, U11)",30,2027-03-14
"Frisk Asker 2 (Frisk Asker, U10)",30,2027-02-28
"Frisk Asker 2 (Frisk Asker, U11)",30,2027-02-20
"Frisk Asker 3 (Frisk Asker, U11)",30,2027-02-06
"Frisk Asker 4 (Frisk Asker, U10)",30,2027-03-07
"Frisk Asker 4 (Frisk Asker, U11)",30,2027-02-20
"Frisk Asker 5 (Frisk Asker, U10)",30,2027-02-28
"Holmen Hockey Blå (Holmen, U10)",30,2027-02-28
"Holmen Hockey Hvit (Holmen, U10)",30,2027-03-06
"Holmen Hockey Hvit (Holmen, U11)",30,2027-03-14
"Holmen Hockey Rød (Holmen, U10)",30,2027-02-27
"Holmen Hockey Rød (Holmen, U11)",30,2027-02-20
"Jar Blå (Jar, U10)",30,2027-02-28
"Jar Blå (Jar, U11)",30,2027-03-14
"Jar Grønn (Jar, U10)",30,2027-03-06
"Jar Grønn (Jar, U11)",30,2027-02-20
"Jar Gul (Jar, U10)",30,2027-02-28
"Jar Gul (Jar, U11)",30,2027-02-06
"Jar Hvit (Jar, U11)",30,2027-02-07
Jar Lilla,30,2027-01-24
Jar Oransje,30,2027-02-07
"Jar Rød (Jar, U11)",30,2027-02-20
"Jar Svart (Jar, U11)",30,2027-01-24
"Jutul Grønn (Jutul, U10)",30,2027-02-27
"Jutul Grønn (Jutul, U11)",30,2027-01-17
"Jutul Hvit (Jutul, U10)",30,2027-03-06
"Jutul Rød (Jutul, U10)",30,2027-02-21
"Jutul Rød (Jutul, U11)",30,2027-02-20
"Kongsberg (Kongsberg, U10)",30,2027-02-21
"Kongsberg (Kongsberg, U11)",30,2027-02-07
"Ringerike 1 (Ringerike, JU10)",30,2027-02-21
"Ringerike 1 (Ringerike, U10)",30,2027-02-27
"Ringerike 1 (Ringerike, U11)",30,2027-02-13
"Ringerike 2 (Ringerike, U10)",30,2027-03-07
"Ringerike 2 (Ringerike, U11)",30,2027-03-14
Ringerike 3,30,2027-02-28
Ringerike 4,30,2027-03-06
"Sandefjord (Sandefjord Penguins, U11)",30,2027-03-14
"Skien (Skien, JU10)",30,2027-02-21
"Skien (Skien, U11)",30,2027-02-13
"Tønsberg (Tønsberg, U10)",30,2027-02-14
"Tønsberg Grå (Tønsberg, U11)",30,2027-03-14
"Tønsberg Hvit (Tønsberg, U11)",30,2027-01-31
"Tønsberg Rød (Tønsberg, U11)",30,2027-02-13
"Frisk Asker 3 (Frisk Asker, U10)",27,2027-02-21
Frisk Asker 6,27,2027-03-07
"Frisk Asker Orange (Frisk Asker, JU10)",27,2027-02-21
"Holmen Hockey Sort (Holmen, U10)",27,2027-03-07
"Jar Blå (Jar, JU10)",27,2027-02-14
"Jar Hvit (Jar, JU10)",27,2027-02-21
"Jar Hvit (Jar, U10)",27,2027-03-07
"Jar Rød (Jar, JU10)",27,2027-02-21
"Jar Rød (Jar, U10)",27,2027-02-21
"Jar Svart (Jar, U10)",27,2027-03-07
Frisk Asker,24,2027-04-17
"Frisk Asker Svart (Frisk Asker, JU10)",24,2027-02-21
Jar,24,2027-04-17
Jutul Kittens,24,2027-04-17
"Ringerike 1 (Ringerike, JU8)",24,2027-04-17
"Skien (Skien, JU8)",24,2027-04-17
"Frisk Asker 1 (Frisk Asker, U12)",18,2027-01-31
"Frisk Asker 2 (Frisk Asker, U12)",18,2027-02-14
"Frisk Asker 3 (Frisk Asker, U12)",18,2027-03-20
"Frisk Asker Orange (Frisk Asker, JU12)",18,2027-01-31
"Holmen Hockey Hvit (Holmen, U12)",18,2027-02-14
"Jar Blå (Jar, U12)",18,2027-02-14
"Jar Hvit (Jar, U12)",18,2027-01-31
"Jar Rød (Jar, U12)",18,2027-03-20
"Jutul Grønn (Jutul, U12)",18,2027-02-07
Jutul/Jar Kittens,18,2027-01-31
"Kongsberg (Kongsberg, U12)",18,2027-02-14
Kongsberg/Tønsberg,18,2027-02-06
"Ringerike 1 (Ringerike, JU12)",18,2027-02-06
"Ringerike 1 (Ringerike, U12)",18,2027-03-20
"Skien (Skien, JU12)",18,2027-01-31
"Tønsberg Hvit (Tønsberg, U12)",18,2027-03-20
"Holmen Hockey Rød (Holmen, U12)",17,2027-02-07
"Jar Svart (Jar, U12)",17,2027-03-13
"Jutul Rød (Jutul, U12)",17,2027-01-31
"Ringerike 2 (Ringerike, U12)",17,2027-03-13
"Tønsberg Grå (Tønsberg, U12)",17,2027-03-13
"Tønsberg Rød (Tønsberg, U12)",17,2027-01-31
"Frisk Asker Svart (Frisk Asker, JU12)",15,2027-02-06
"Ringerike 2 (Ringerike, JU12)",15,2027-02-06
